date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:27	67205/67205	---M--	200	added ('OK')	image/jpeg	etag:%2210685-646868b4-ae6b259e88d336f7;;;%22	https://techsyn.co/assets/uploads/media-uploader/techsyn-blog-real-estate-marketing1684564147.jpg	C:/Users/CP/Desktop/GharPay/AyushGharPay/techsyn.co/assets/uploads/media-uploader/techsyn-blog-real-estate-marketing1684564147.jpg	(from https://gharpayy.com/homes/about.html)
17:14:28	29034/29034	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Jul%202023%2021:39:14%20GMT	https://gharpayy.com/homes/assets/images/faq/shape-2.svg	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/images/faq/shape-2.svg	(from https://gharpayy.com/homes/faq.html)
17:14:28	14806/14806	---MCZ	200	added ('OK')	text/css	etag:%2239d6-7JKfEQDGZCzMXEJyz0zKEiUaml0%22	https://unpkg.com/leaflet@1.9.4/dist/leaflet.css	C:/Users/CP/Desktop/GharPay/AyushGharPay/unpkg.com/leaflet@1.9.4/dist/leaflet.css	(from https://gharpayy.com/homes/service-details.html)
17:14:29	147552/147552	---MCZ	200	added ('OK')	application/javascript	etag:%2224060-WmQP+GPnkCqMrCzmujfIezBnd2E%22	https://unpkg.com/leaflet@1.9.4/dist/leaflet.js	C:/Users/CP/Desktop/GharPay/AyushGharPay/unpkg.com/leaflet@1.9.4/dist/leaflet.js	(from https://gharpayy.com/homes/service-details.html)
17:14:30	122958/122958	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2006:21:02%20GMT	https://gharpayy.com/homes/images20/img6.jpeg	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/images20/img6.jpg	(from https://gharpayy.com/homes/service-details.html)
17:14:30	11524/11524	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Nov%202023%2012:36:48%20GMT	https://gharpayy.com/homes/oven_2333382.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/oven_2333382.png	(from https://gharpayy.com/homes/service-details.html)
17:14:30	12048/12048	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Nov%202023%2012:49:30%20GMT	https://gharpayy.com/homes/kitchen_10043693.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/kitchen_10043693.png	(from https://gharpayy.com/homes/service-details.html)
17:14:31	18054/18054	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Nov%202023%2012:55:18%20GMT	https://gharpayy.com/homes/condensation_1975605.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/condensation_1975605.png	(from https://gharpayy.com/homes/service-details.html)
17:14:31	8439/8439	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202023%2007:18:28%20GMT	https://gharpayy.com/homes/lockers_4242190.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/lockers_4242190.png	(from https://gharpayy.com/homes/service-details.html)
17:14:31	12529/12529	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202023%2006:48:30%20GMT	https://gharpayy.com/homes/mattress_3821379.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/mattress_3821379.png	(from https://gharpayy.com/homes/service-details.html)
17:14:31	10841/10841	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202023%2006:54:46%20GMT	https://gharpayy.com/homes/pillow_7760171.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/pillow_7760171.png	(from https://gharpayy.com/homes/service-details.html)
